ID,Name,Price,Brand,Model,Year,Kilometers,Gearbox,Fuel,Status,CC,Seating Capacity
12565963,2018 Nissan X-Trail TI (4WD) T32 Series 2,37800,Nissan,X-Trail,2018,71266,Automatic,Unleaded Petrol, Used,2488,5
12574189,2018 BMW 430I M Sport F33 MY17,59990,BMW,430I,2018,85596,Automatic,Premium Unleaded Petrol, Used,1998,4
12574238,2015 Volkswagen Golf R AU MY15,38999,Volkswagen,Golf,2015,92822,Manual,Premium Unleaded Petrol, Used,1984,5
12574243,2014 Renault Clio RS 200 Sport X98,18999,Renault,Clio,2014,104327,Automatic,Premium Unleaded Petrol, Used,1618,5
12576018,2020 Toyota Landcruiser LC200 VX (4X4) VDJ200R,119985,Toyota,Landcruiser,2020,50943,Automatic,Diesel, Used,4461,7
12577149,2012 Nissan Navara ST (4X4) D40,19990,Nissan,Navara,2012,196564,Automatic,Diesel, Used,2488,5
12577352,2014 Audi Q5 3.0 TDI Quattro 8R MY14,35850,Audi,Q5,2014,65498,Automatic,Diesel, Used,2967,5
12589141,2015 Nissan Navara RX (4X4) NP300 D23,30990,Nissan,Navara,2015,117341,Automatic,Diesel, Used,2298,5
12594364,2022 Nissan Navara SL (4X4) D23 MY21.5,66888,Nissan,Navara,2022,894,Manual,Diesel, Demo,2298,5
12594410,2012 Porsche Cayenne S Series 2 MY12,49990,Porsche,Cayenne,2012,175584,Automatic,Premium Unleaded Petrol, Used,4806,5
12597077,2021 Toyota Landcruiser 70 Series GXL VDJ79R,169990,Toyota,Landcruiser 70 Series,2021,1008,Manual,Diesel, Used,4461,5
12602872,2013 Toyota Hilux SR5 (4X4) KUN26R MY14,32499,Toyota,Hilux,2013,226139,Automatic,Diesel, Used,2982,5
12613034,2017 Toyota Corolla Ascent ZRE182R MY15,20990,Toyota,Corolla,2017,128142,Automatic,Unleaded Petrol, Used,1798,5
12613287,2018 Toyota Landcruiser Workmate (4X4) VDJ79R MY18,79990,Toyota,Landcruiser,2018,85460,Manual,Diesel, Used,4461,3
12620063,2009 Nissan Patrol TI (4X4) GU VI,27999,Nissan,Patrol,2009,250464,Automatic,Diesel, Used,2953,7
12620066,2013 Mitsubishi Pajero GLX-R LWB (4X4) NW MY14,27999,Mitsubishi,Pajero,2013,226986,Automatic,Diesel, Used,3200,7
12621216,2021 Toyota Hilux Rogue (4X4) GUN126R Facelift,83990,Toyota,Hilux,2021,3646,Automatic,Diesel, Used,2753,5
12628582,2022 Mazda CX-8 GT (fwd) CX8D,60999,Mazda,CX-8,2022,2001,Automatic,Unleaded Petrol, Demo,2488,7
12631067,2006 Nissan Patrol ST (4X4) GU IV,48999,Nissan,Patrol,2006,292100,Manual,Diesel, Used,4169,7
12631219,2009 Jeep Wrangler Sport (4X4) JK MY08,20990,Jeep,Wrangler,2009,166850,Manual,Unleaded Petrol, Used,3778,4
12631768,2015 Kia Carnival SLI YP MY15,32998,Kia,Carnival,2015,163177,Automatic,Unleaded Petrol, Used,3342,8
12633579,2017 Holden Trailblazer LTZ (4X4) RG MY17,33990,Holden,Trailblazer,2017,146930,Automatic,Diesel, Used,2776,7
12634121,2012 Nissan X-Trail ST-L (4X4) T31 MY11,12990,Nissan,X-Trail,2012,206877,Automatic,Unleaded Petrol, Used,2488,5
12636809,2019 Hyundai I30 Active PD2 MY20,22980,Hyundai,I30,2019,45040,Automatic,Unleaded Petrol, Used,1999,5
12637483,2010 Porsche Boxster Spyder 987 MY11,129900,Porsche,Boxster,2010,66147,Automatic,Premium Unleaded Petrol, Used,3436,2
12644713,2016 Volkswagen Multivan Highline TDI450 T6 MY16,59990,Volkswagen,Multivan,2016,116213,Automatic,Diesel, Used,1968,7
12646867,2022 Toyota Hilux Workmate (4X2) TGN121R,31990,Toyota,Hilux,2022,16324,Automatic,Unleaded Petrol, Used,2694,2
12647010,2021 Mitsubishi Pajero Sport Exceed (4X4) 7 Seat QF MY21,65880,Mitsubishi,Pajero Sport,2021,10345,Automatic,Diesel, Used,2442,7
12648490,2014 Ford Ranger XLS 2.2 (4X4) PX,28990,Ford,Ranger,2014,97889,Manual,Diesel, Used,2198,5
